epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,14976.7,0.50554,0.38318,1.09049,0.98894,0.9805,0.99441,0.96545,0.24208,0.17514,0.87326,0.0006601,0.0006601,0.0006601
105,15121.5,0.4999,0.3793,1.079,0.98771,0.97987,0.99433,0.96596,0.23702,0.17317,0.86931,0.0006568,0.0006568,0.0006568
106,15268,0.5121,0.38579,1.09268,0.98815,0.97968,0.99439,0.96601,0.24002,0.17025,0.87174,0.0006535,0.0006535,0.0006535
107,15421.9,0.49799,0.37799,1.08449,0.98809,0.98064,0.99438,0.96725,0.23581,0.16782,0.86694,0.0006502,0.0006502,0.0006502
108,15570.4,0.49296,0.37769,1.08001,0.99032,0.98165,0.99454,0.96834,0.23399,0.16699,0.86705,0.0006469,0.0006469,0.0006469
109,15716.4,0.49484,0.38282,1.07783,0.98913,0.98029,0.99446,0.9663,0.23715,0.17267,0.86778,0.0006436,0.0006436,0.0006436
110,15864.2,0.4979,0.37995,1.07902,0.98759,0.98007,0.99446,0.96713,0.23667,0.16974,0.86581,0.0006403,0.0006403,0.0006403
111,16022.2,0.49354,0.37374,1.07869,0.98688,0.98066,0.99434,0.96669,0.23278,0.16983,0.8667,0.000637,0.000637,0.000637
112,16178.5,0.48861,0.36952,1.07542,0.98784,0.9809,0.99438,0.96637,0.23251,0.1676,0.86549,0.0006337,0.0006337,0.0006337
113,16329.2,0.49118,0.37652,1.07077,0.98866,0.97931,0.99443,0.9652,0.22925,0.1686,0.86172,0.0006304,0.0006304,0.0006304
114,16482.8,0.48145,0.36749,1.06723,0.98955,0.97977,0.99439,0.96733,0.23061,0.16968,0.86394,0.0006271,0.0006271,0.0006271
115,16632.7,0.485,0.3718,1.0706,0.98723,0.98101,0.99448,0.96705,0.23147,0.16808,0.86035,0.0006238,0.0006238,0.0006238
116,16781.9,0.48414,0.36557,1.07223,0.98529,0.98411,0.99448,0.96794,0.22534,0.16126,0.85911,0.0006205,0.0006205,0.0006205
117,16931.7,0.48699,0.36564,1.0716,0.98727,0.98415,0.99456,0.96854,0.22523,0.15857,0.86039,0.0006172,0.0006172,0.0006172
118,17081.9,0.48531,0.3696,1.06982,0.99004,0.97986,0.99457,0.96848,0.22806,0.15989,0.86074,0.0006139,0.0006139,0.0006139
119,17235.4,0.48659,0.36505,1.07565,0.99118,0.98301,0.99462,0.96746,0.22891,0.16059,0.86107,0.0006106,0.0006106,0.0006106
120,17385.4,0.49202,0.36951,1.07946,0.99055,0.98106,0.99457,0.96905,0.22556,0.1578,0.85981,0.0006073,0.0006073,0.0006073
121,17536.2,0.48177,0.36389,1.0651,0.98741,0.98423,0.9946,0.96808,0.22488,0.15994,0.85764,0.000604,0.000604,0.000604
122,17696.2,0.47361,0.36092,1.06141,0.98662,0.98584,0.99458,0.96966,0.22347,0.15801,0.85561,0.0006007,0.0006007,0.0006007
123,17855.9,0.47861,0.36072,1.06798,0.98984,0.98376,0.99459,0.97002,0.22073,0.15729,0.85474,0.0005974,0.0005974,0.0005974
124,18012.2,0.47899,0.36437,1.06538,0.99142,0.983,0.99461,0.97003,0.22355,0.1613,0.85377,0.0005941,0.0005941,0.0005941
125,18160.2,0.47831,0.35776,1.06619,0.98996,0.98411,0.99463,0.96951,0.22087,0.15945,0.85434,0.0005908,0.0005908,0.0005908
126,18308.1,0.48147,0.35936,1.06658,0.98989,0.98559,0.99473,0.97119,0.22016,0.15804,0.85349,0.0005875,0.0005875,0.0005875
